program_id,datetime,star,user,result,time,memory,language,problem_code,uses recursion,uses iteration
34889565,09:08 PM 30/06/20,2,superzip17,accepted,0.00,14.9M,C++14,ECJN202,0,0
34889749,09:17 PM 30/06/20,2,jordan_05,accepted,0.10,2133M,JAVA,ECJN202,0,0
34889979,09:31 PM 30/06/20,4,ur_dad,accepted,0.00,14.9M,C++14,ECJN202,0,0
34890070,09:36 PM 30/06/20,2,sumit134926,accepted,0.02,17.6M,PYTH 3.6,ECJN202,0,0
34890366,09:52 PM 30/06/20,2,bharat99anand,accepted,0.00,5.8M,C++17,ECJN202,0,0
34891221,10:34 PM 30/06/20,2,that_guy_16,accepted,0.00,14.9M,C++14,ECJN202,0,0
34891371,10:42 PM 30/06/20,2,xxnavneetxx,accepted,0.00,14.9M,C++14,ECJN202,0,0
34891391,10:43 PM 30/06/20,3,git1,accepted,0.00,14.9M,C++14,ECJN202,0,0
34891435,10:46 PM 30/06/20,4,agru,accepted,0.00,6M,C++17,ECJN202,0,0
34891603,10:55 PM 30/06/20,2,appss_07,accepted,0.00,14.9M,C++14,ECJN202,0,0
34891945,11:16 PM 30/06/20,1,overlord_616,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34892016,11:20 PM 30/06/20,1,overlord_616,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34892061,11:24 PM 30/06/20,1,overlord_616,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34892227,11:33 PM 30/06/20,3,sach562,accepted,0.00,14.9M,C++14,ECJN202,0,0
34892268,11:35 PM 30/06/20,0,haroonarfan,runtime error(NZEC),0.02,17.6M,PYTH 3.6,ECJN202,0,0
34892293,11:37 PM 30/06/20,0,haroonarfan,runtime error(NZEC),0.02,17.6M,PYTH 3.6,ECJN202,0,0
34892405,11:43 PM 30/06/20,0,haroonarfan,runtime error(NZEC),0.01,17.5M,PYTH 3.6,ECJN202,0,0
34892418,11:44 PM 30/06/20,0,haroonarfan,runtime error(NZEC),0.02,17.6M,PYTH 3.6,ECJN202,0,0
34892430,11:45 PM 30/06/20,0,haroonarfan,runtime error(NZEC),0.02,17.6M,PYTH 3.6,ECJN202,0,0
34892486,11:48 PM 30/06/20,0,haroonarfan,runtime error(NZEC),0.02,17.6M,PYTH 3.6,ECJN202,0,0
